epoch,lr,step,train_acc,train_loss,val_acc,val_auc,val_f1,val_loss
0,,12241,,,0.6101809144020081,0.6674411296844482,0.6397565007209778,0.6421784162521362
0,0.009999999776482582,12241,0.604485034942627,0.646087646484375,,,,
1,,24483,,,0.6129626035690308,0.667487621307373,0.6085699200630188,0.6409508585929871
1,0.009999999776482582,24483,0.610605001449585,0.6437208652496338,,,,
2,,36725,,,0.6138560771942139,0.6678123474121094,0.6037687659263611,0.6383944153785706
2,0.009999999776482582,36725,0.6099187135696411,0.642986536026001,,,,
3,,48967,,,0.6131293773651123,0.6681586503982544,0.6134701371192932,0.6383195519447327
3,0.009999999776482582,48967,0.6109220385551453,0.6422941088676453,,,,
4,,61209,,,0.6137846112251282,0.6679933071136475,0.6168926954269409,0.6375749707221985
4,0.009999999776482582,61209,0.6111121773719788,0.6418284773826599,,,,
5,,73451,,,0.6122657060623169,0.6683237552642822,0.5908816456794739,0.6380832195281982
5,0.009999999776482582,73451,0.610970139503479,0.6416682600975037,,,,
6,,85693,,,0.6129804849624634,0.6688327789306641,0.6327160596847534,0.6387441158294678
6,0.009999999776482582,85693,0.6105420589447021,0.6412667036056519,,,,
7,,97935,,,0.6121465563774109,0.668604850769043,0.6423722505569458,0.6389819383621216
7,0.009999999776482582,97935,0.6110503077507019,0.6411799788475037,,,,
8,,110177,,,0.6135641932487488,0.6689543128013611,0.6330294013023376,0.6392138600349426
8,0.009999999776482582,110177,0.6104703545570374,0.6410233378410339,,,,
9,,122419,,,0.6128851771354675,0.6685382723808289,0.63191819190979,0.6378507018089294
9,0.009999999776482582,122419,0.6115477085113525,0.6410768628120422,,,,
10,,134661,,,0.6130877137184143,0.6690179109573364,0.6313883662223816,0.6381852626800537
10,0.009999999776482582,134661,0.6101769804954529,0.6410232186317444,,,,
11,,146903,,,0.6139037013053894,0.6690624356269836,0.6305831074714661,0.6376049518585205
11,0.009999999776482582,146903,0.6108784675598145,0.6408600211143494,,,,
12,,159145,,,0.6063329577445984,0.6691619157791138,0.6604675054550171,0.641147255897522
12,0.009999999776482582,159145,0.6122751832008362,0.6405051946640015,,,,
13,,171387,,,0.614439845085144,0.6692461967468262,0.6261615753173828,0.6401558518409729
13,0.009999999776482582,171387,0.6103785634040833,0.6406913995742798,,,,
14,,183629,,,0.6132366061210632,0.6693474650382996,0.5950392484664917,0.6371140480041504
14,0.009999999776482582,183629,0.6110854744911194,0.640579342842102,,,,
15,,195871,,,0.6125039458274841,0.6688483357429504,0.5792979598045349,0.6370226740837097
15,0.009999999776482582,195871,0.6111201643943787,0.6403353810310364,,,,
16,,208113,,,0.6137131452560425,0.6692672371864319,0.631354570388794,0.636734664440155
16,0.009999999776482582,208113,0.6106030941009521,0.6403481960296631,,,,
17,,220355,,,0.6126886010169983,0.6692283749580383,0.6376761794090271,0.6390461921691895
17,0.009999999776482582,220355,0.6108800768852234,0.640356719493866,,,,
18,,232597,,,0.6086500883102417,0.669084906578064,0.6544725894927979,0.6392046213150024
18,0.009999999776482582,232597,0.6106714606285095,0.6402233242988586,,,,
19,,244839,,,0.6123967170715332,0.6690104603767395,0.638958215713501,0.637481153011322
19,0.009999999776482582,244839,0.6114919185638428,0.6403464674949646,,,,
20,,257081,,,0.6139275431632996,0.6690937876701355,0.6003884077072144,0.6377391815185547
20,0.009999999776482582,257081,0.6113298535346985,0.6402065753936768,,,,
21,,269323,,,0.6091623306274414,0.6691595315933228,0.6533533930778503,0.6391984820365906
21,0.009999999776482582,269323,0.6112168431282043,0.6402408480644226,,,,
22,,281565,,,0.6121525168418884,0.669094443321228,0.5798863172531128,0.6374966502189636
22,0.009999999776482582,281565,0.6105535626411438,0.6400414109230042,,,,
23,,293807,,,0.6056956052780151,0.6688674688339233,0.526423454284668,0.6412455439567566
23,0.009999999776482582,293807,0.6114382147789001,0.639964759349823,,,,
24,,306049,,,0.6139335036277771,0.6693090796470642,0.6289303302764893,0.6366642117500305
24,0.009999999776482582,306049,0.6112732887268066,0.6401711702346802,,,,
25,,318291,,,0.6111339330673218,0.6691885590553284,0.6459960341453552,0.6408027410507202
25,0.009999999776482582,318291,0.6105366349220276,0.6401296257972717,,,,
26,,330533,,,0.6135939955711365,0.6692174077033997,0.6079757213592529,0.6367473602294922
26,0.009999999776482582,330533,0.609628438949585,0.6401163935661316,,,,
27,,342775,,,0.6144576668739319,0.6691849231719971,0.6273947954177856,0.6366379261016846
27,0.009999999776482582,342775,0.6108410954475403,0.6401126384735107,,,,
28,,355017,,,0.6107586622238159,0.6688480973243713,0.6446079611778259,0.6373936533927917
28,0.009999999776482582,355017,0.6118786931037903,0.6399201154708862,,,,
29,,367259,,,0.6116164326667786,0.668856680393219,0.6437597870826721,0.6375243067741394
29,0.009999999776482582,367259,0.6114673614501953,0.6399690508842468,,,,
30,,379501,,,0.6117832064628601,0.6691849231719971,0.5716820359230042,0.6380252838134766
30,0.009999999776482582,379501,0.6113770008087158,0.6397793292999268,,,,
31,,391743,,,0.6107944250106812,0.6688985824584961,0.6449804306030273,0.640397846698761
31,0.009999999776482582,391743,0.6121131181716919,0.6399535536766052,,,,
32,,403985,,,0.6125873327255249,0.6686021089553833,0.5972855091094971,0.6365631818771362
32,0.009999999776482582,403985,0.6121223568916321,0.6397439241409302,,,,
33,,416227,,,0.6130936145782471,0.6692667007446289,0.5903417468070984,0.6384081244468689
33,0.009999999776482582,416227,0.6114002466201782,0.6397747993469238,,,,
34,,428469,,,0.6130995750427246,0.6692197322845459,0.6331401467323303,0.6379085183143616
34,0.009999999776482582,428469,0.6112405061721802,0.6397716999053955,,,,
35,,440711,,,0.6099485754966736,0.6690348982810974,0.5568976402282715,0.6388888359069824
35,0.009999999776482582,440711,0.6128113865852356,0.6398548483848572,,,,
36,,452953,,,0.6134688854217529,0.6681228876113892,0.612765371799469,0.6381335854530334
36,0.009999999776482582,452953,0.6106340289115906,0.6397441625595093,,,,
37,,465195,,,0.6084356307983398,0.6690372228622437,0.6574038863182068,0.6387839913368225
37,0.009999999776482582,465195,0.6114776730537415,0.6397811770439148,,,,
38,,477437,,,0.6131948828697205,0.6691206693649292,0.5947808027267456,0.6369598507881165
38,0.009999999776482582,477437,0.6105908155441284,0.6398998498916626,,,,
39,,489679,,,0.6143862009048462,0.6691088676452637,0.6165491938591003,0.6374157071113586
39,0.009999999776482582,489679,0.6113770604133606,0.6398953795433044,,,,
40,,501921,,,0.613641619682312,0.6685569286346436,0.5943806171417236,0.636715292930603
40,0.009999999776482582,501921,0.6110741496086121,0.6397212743759155,,,,
41,,514163,,,0.6133497953414917,0.6692684888839722,0.6347635984420776,0.6380881667137146
41,0.009999999776482582,514163,0.6116787791252136,0.6395503878593445,,,,
42,,526405,,,0.6130459904670715,0.6694295406341553,0.5825510025024414,0.6372465491294861
42,0.009999999776482582,526405,0.6118456125259399,0.6397057175636292,,,,
43,,538647,,,0.6131353378295898,0.66908198595047,0.6028276681900024,0.6378061175346375
43,0.009999999776482582,538647,0.6111113429069519,0.6395841836929321,,,,
44,,550889,,,0.6107586622238159,0.6692250967025757,0.5649189352989197,0.6376117467880249
44,0.004999999888241291,550889,0.6126739382743835,0.6385469436645508,,,,
45,,563131,,,0.6074766516685486,0.6693805456161499,0.5370315909385681,0.6388877034187317
45,0.004999999888241291,563131,0.6125679016113281,0.6382865309715271,,,,
46,,575373,,,0.6137667298316956,0.6691797971725464,0.6096066236495972,0.6363160014152527
46,0.004999999888241291,575373,0.611875057220459,0.6385521292686462,,,,
47,,587615,,,0.6138381958007812,0.6691296696662903,0.6068049669265747,0.6368610858917236
47,0.004999999888241291,587615,0.6141756176948547,0.6382116079330444,,,,
48,,599857,,,0.6106157302856445,0.6691302061080933,0.5641323328018188,0.6385422945022583
48,0.004999999888241291,599857,0.6140897870063782,0.6381986141204834,,,,
49,,612099,,,0.6141241192817688,0.6693113446235657,0.6160293221473694,0.6374019384384155
49,0.004999999888241291,612099,0.6112776398658752,0.6382766366004944,,,,
50,,624341,,,0.614189624786377,0.6692503690719604,0.6272880434989929,0.6373043656349182
50,0.004999999888241291,624341,0.6129398345947266,0.6381821632385254,,,,
51,,636583,,,0.6135165691375732,0.6693739891052246,0.6341677904129028,0.6367354989051819
51,0.004999999888241291,636583,0.6132915616035461,0.6381619572639465,,,,
